"ID";"Type";"Hidden";"Learning rate";"Momentum";"Final error";"Epochs";"Total time"
"C1";"batch";2;"0,001";"0,07";"0,000124";2000;50.71799993515015
"C1";"batch";2;"0,001";"0,07";"0,00012";2000;49.70700001716614
"C2";"batch";2;"0,001";"0,075";"0,000125";2000;50.009000062942505
"C2";"batch";2;"0,001";"0,075";"0,000128";2000;48.82200002670288
"C3";"batch";2;"0,001";"0,08";"0,000138";2000;44.882000207901
"C3";"batch";2;"0,001";"0,08";"0,000136";2000;47.1489999294281
"C4";"batch";2;"0,003";"0,07";"0,00013";2000;47.329999923706055
"C4";"batch";2;"0,003";"0,07";"0,000102";2000;46.0550000667572
"C5";"batch";2;"0,003";"0,075";"0,000159";2000;44.41599988937378
"C5";"batch";2;"0,003";"0,075";"0,000129";2000;44.24499988555908
"C6";"batch";2;"0,003";"0,08";"0,000209";2000;44.22200012207031
"C6";"batch";2;"0,003";"0,08";"0,000135";2000;47.57800006866455
"C7";"batch";2;"0,005";"0,07";"0,000102";2000;49.12000012397766
"C7";"batch";2;"0,005";"0,07";"0,00011";2000;49.41199994087219
"C8";"batch";2;"0,005";"0,075";"0,000133";2000;49.23599982261658
"C8";"batch";2;"0,005";"0,075";"0,0001";1588;38.85800004005432
"C9";"batch";2;"0,005";"0,08";"0,005955";2000;49.24000000953674
"C9";"batch";2;"0,005";"0,08";"0,000101";2000;49.14199995994568
"C10";"batch";2;"0,01";"0,07";"0,0001";1280;31.379000186920166
"C10";"batch";2;"0,01";"0,07";"0,000126";2000;49.04299998283386
"C11";"batch";2;"0,01";"0,075";"0,0001";1604;39.337000131607056
"C11";"batch";2;"0,01";"0,075";"0,000104";2000;49.40400004386902
"C12";"batch";2;"0,01";"0,08";"0,005959";2000;49.287999868392944
"C12";"batch";2;"0,01";"0,08";"0,0001";1546;37.89299988746643
"C13";"batch";2;"0,03";"0,07";"0,000126";2000;49.11300015449524
"C13";"batch";2;"0,03";"0,07";"0,000119";2000;49.02300000190735
"C14";"batch";2;"0,03";"0,075";"0,000104";2000;49.454999923706055
"C14";"batch";2;"0,03";"0,075";"0,0001";1681;41.51199984550476
"C15";"batch";2;"0,03";"0,08";"0,0001";1321;32.58400011062622
"C15";"batch";2;"0,03";"0,08";"0,0001";1145;28.17799997329712
"C16";"batch";2;"0,05";"0,07";"0,0001";1303;32.365999937057495
"C16";"batch";2;"0,05";"0,07";"0,0001";780;19.456000089645386
"C17";"batch";2;"0,05";"0,075";"0,000128";2000;49.138999938964844
"C17";"batch";2;"0,05";"0,075";"0,0001";1548;38.168999910354614
"C18";"batch";2;"0,05";"0,08";"0,000107";2000;49.19999980926514
"C18";"batch";2;"0,05";"0,08";"0,0001";1171;28.733999967575073
